ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
231,"{""Monday"": ""11:00 AM - 12:00 PM"",""Tuesday"": ""NA"",""Wednesday"": ""11:00 AM - 12:00 PM"",""Thursday"": ""NA"",""Friday"": ""7:00 AM - 8:00 PM"",""Saturday"": ""NA"",""Sunday"": ""NA""}",11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM
232,,,,,,,,
233,,,,,,,,
234,"{""Thursday"": ""6:00 PM - 7:00 PM""}",,,,,,6:00 PM - 7:00 PM,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,"{""Wednesday"": ""6:00 PM - 7:00 PM""}",,,,,6:00 PM - 7:00 PM,,
240,,,,,,,,
241,"{""Thursday"": ""8:00 AM"",""Saturday"": ""9:00 AM""}",8:00 AM,,,,,8:00 AM,
242,"[""Every Friday 3:00 PM until Saturday 7:00 AM""]",3:00 PM,,,,,,3:00 PM
243,,,,,,,,
244,,,,,,,,
245,"{""Friday"": ""9:00 AM""}",,,,,,,9:00 AM
246,"{""Holy Hour"": ""Every Wednesday at 6:00 PM"",""First Friday"": ""After 9:00 AM Mass"",""First Saturday"": ""After 8:30 AM Mass""}",6:00 PM,,,,6:00 PM,,6:00 PM
247,"{""Start"": ""9:30 AM Monday"",""End"": ""9:00 AM Wednesday""}",,,9:30 AM,,9:30 AM,,
248,"{""Monday_to_Friday"": ""10:00 AM - 12:00 PM"",""Silent"": ""1:00 PM"",""Friday"": ""6:00 PM - 6:45 PM""}",,,10:00 AM,,,,10:00 AM
249,"{""Friday"": ""7:45 PM to 8:30 PM"",""Christmas Eve"": ""11:30 PM""}",,,,,,,7:45 PM - 8:30 PM
250,"{""Monday"": ""9:30 AM - 3:00 PM"",""Tuesday"": ""9:30 AM - 3:00 PM"",""Wednesday"": ""9:30 AM - 3:00 PM"",""Thursday"": ""9:00 AM - 3:00 PM"",""Friday"": ""9:30 AM - 3:00 PM""}",,,9:30 AM - 3:00 PM,9:30 AM - 3:00 PM,9:30 AM - 3:00 PM,9:30 AM - 3:00 PM,9:30 AM - 3:00 PM
251,"{""Friday"": ""9:00 AM - 9:00 PM"",""Monday_Thursday"": ""9:30 AM - 4:00 PM""}",,,9:00 AM - 9:00 PM,,,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM
252,"{""Silent Adoration"": {""First Friday"": ""9:30 AM - 12:00 PM"",""Other Fridays"": ""9:30 AM - 10:30 AM"",""First Saturday"": ""9:30 AM - 12:00 PM"",""Other Saturdays"": ""9:30 AM - 10:30 AM""},""Adoration with Guided Prayers"": {""Wednesday"": ""6:00 PM - 6:50 PM"",""Second Saturday"": ""8:00 PM - Second Sunday 8:00 AM""}}",9:30 AM - 12:00 PM,9:30 AM - 12:00 PM,,,9:30 AM - 12:00 PM,,9:30 AM - 12:00 PM
253,,,,,,,,
254,"{""Monday to Thursday"": ""9:00 AM - 4:00 PM"",""First Friday"": ""9:00 AM - 8:00 PM"",""Holy Hour"": ""Wednesday 7:00 PM - 8:00 PM""}",,,9:00 AM,,9:00 AM,9:00 AM,9:00 AM
255,,,,,,,,
