ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
102,"5:30 PM, 9:00 AM","7:30 AM, 9:30 AM, 11:30 AM, 1:30 PM, 5:30 PM, 10:00 AM, 11:15 AM",,"7:30 PM, 7:30 PM",8:00 PM,8:00 PM,,"English, Korean, Spanish"
103,"7:00 AM, 8:00 AM, 5:00 PM","7:30 AM, 9:30 AM, 11:00 AM, 12:30 PM, 6:00 PM",,,,,"7:00 AM, 8:00 AM","English, Italian, Portuguese"
104,,11:00 AM,,,,,,English
105,"9:00 AM, 5:00 PM","8:30 AM, 10:30 AM, 12:00 PM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM",English
106,"9:00 AM, 5:00 PM","9:00 AM, 1:00 PM, 11:00 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
107,,,"7:30 AM, 7:00 PM","7:30 AM, 7:00 PM","7:30 AM, 7:00 PM","7:30 AM, 7:00 PM","7:30 AM, 7:00 PM",English
108,"5:00 PM, 9:00 AM","8:00 AM, 10:00 AM, 12:00 PM, 5:00 PM, 1:30 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM,"English, Spanish"
109,"9:00 AM, 4:00 PM","8:00 AM, 10:00 AM, 12:00 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM,English
110,5:30 PM,"7:30 AM, 9:30 AM, 11:30 AM, 1:00 PM",,,,,,"English, Spanish"
111,5:30 PM,"8:00 AM, 9:30 AM, 11:00 AM, 12:30 PM, 3:00 PM, 6:30 PM","6:30 AM, 8:30 AM, 12:00 PM","6:30 AM, 8:30 AM, 12:00 PM","6:30 AM, 8:30 AM, 12:00 PM","6:30 AM, 8:30 AM, 12:00 PM","6:30 AM, 8:30 AM, 12:00 PM","English, Spanish"
112,,,,,,,,English
113,,,,,,,,English
114,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:45 AM,8:45 AM,8:45 AM,8:45 AM,8:45 AM,English
